Address,NERD Amount
0x5691396FBad14F1663Ca2EFeFb95796ECC6848E2,0.0458
0x569c8f72Cf4A896ff0423444284dCbc5C3B5f1B7,742.1705
0x56F2B2a3260d0D036cD1141070C603fc128208Ee,0.2263
0x5968E44c7C2BDcce1834e91497Bd68C1a2DFD821,0.1607
0x598Aa60C6ABB14d48D46a8f135EE014616003a3E,0.1499
0x5BD275FDdFdF77AF9FE4f28F44B253468d065DAc,0.0154
0x5F49d57aD20e117ed5C31eC6D7461946190ECab1,4.5264
0x5F71b348EF2f6910a26a7ca6eff77B1C8bd9992b,1.0003
0x5a95db4EC358E5042ba4e757f15a1C6a3d6aA6Dd,1.2610
0x5e1fb6CBF6c033d9C3fc2735Af81b1f074150133,1.9461
0x5f95465CCb42C2c35522BEb48923Ac17D0605355,11.0042
0x62434ddb02f846cbd5BE19D535cf2542Fd92d549,272.1454
0x626BB5bc4dd1cA5f49E313Cc733138A6a631F10E,0.9700
0x6286D218DC632b1642906B925f83eB39e39e545D,0.9700
0x62C4eE3905aCB37106dfA2175226afFa6DDf3032,35.3975
0x62E857eA0A770F28950e3b77afAF6E2f9e735718,3.9848
0x633C2EcE13b33502d6CfB8d054821625600c7bC6,0.0001
0x6373C0181F6dc83f6705466570cb10c06826246A,2.7572
0x6375E9D0bC33a6A26D0aE093Ddf755a6F52F068A,1.0121
0x63870408bD3177B235e260f5bf404B5A0C109D8f,0.0002
0x63Bf30057F7D0A4377b609DA2dA30ecf2b1b1C20,1.1450
0x64D5f7512a02939610D6728A8dA885C93b3cF4B9,59.1790
0x6576bC38727D502fF9ECb7Cae0972f0709FAd5e5,0.1356
0x68A85184bF76efdd202D904e6Ebf3845689516cA,0.0593
0x68eF343d589C2a58028Af917Fdb9361D11AdC951,28.8716
0x697a4d1FDEe63bBcfE3c33d2d9f6dcab784Df366,32.0990
0x6A8D2a9C4f7AFcE18d0D6cFe7Ff2049C0B054762,8.5000
0x6Ab0C171018c0A5dBBC408B0bbf5b233AE406ca4,9.0880
0x6B6aca951a1400B9Cf92F4Dd9e6b3A14827F532b,31.4640
0x6BD9B524FfDc061E59DA8758892e3f4c3c349B1C,0.3027
0x6Bfab9b77B1288569deCa8D74c904CA7f5d8D954,4.1363
0x6CF531479DEAE1EA261DDAB2E739C253F7D4916B,10.7663
0x6D7b1E0Cc1e6BCcB1C2d0d8920dB1f1FE25a6270,0.0077
0x6E39FF733D0c5561650384aaFE771B77cF73789F,0.0013
0x6Fc1043e8451D594F8E08bD0f19DeeE18a1898b9,0.0946
0x6b020e329f403FC96fbBE1Ba5C2742346A72211a,2.7156
0x6dE62616Dd365A4eEb40dAecEABd7aB5643d6D20,0.2067
0x6e969cB609E0F188Ad30F3F946f4Fe9Fd210226C,0.1041
0x6eC29a7Be2fAaEA0Aa33065b531C19B9AF9c8A0A,0.0265
0x70C47F7B8E1f6055BA0a4F0D40D5A69154E5e229,0.5375
0x72E9F58607055f44B37373424E543C380a55a2D3,0.2509
0x73406cB96Cbddcd3E50D938D4355AF2763Cd20a8,2.0150
0x73d0270F73b862068654876d6E87C3Fbd9A59132,1.9700
0x74763966A8CADB3B839D1Cee485B92E2C494286a,0.9850
0x762752f75B74Cc368AAB381103DCe2ee1c2cF414,3.0092
0x764AaF34e32ecFe2C8257E21933B1857ED7B90e4,2.1347
0x76Dd55b825e0Ded5C4188f6b8da445cB85371b43,3.4624
0x78E37187998bf8886e13c50252815f2571E4fC6E,0.1394
0x78E86BAb5453213841b10cD427c9b77Ef82C329a,1.9489
0x79344aD55095ee7dB4aa903D232ff480442DEBd3,1.0050
0x7944885572FF5Be868dB1b03cdDaf268FFF24724,0.2409
0x7BC4AF884a606584390D192A83192a1D06A0DDDA,0.0403
0x7C72835870d5CA4A6c3Ce2A304b2AA9D542F0620,0.0319
0x7C818D46ACEf870ea88137BF553594f4803872cA,0.5000
0x7D4B137d10Fc2cd8e4dA9408029c4669C3C2ddB0,0.7425
0x7DA117C9391Ee2F1406Bb18B1404e1c4A2d01870,2.5006
0x7E538797C59E44df35e451d550Ad69156f93BE98,10.3238
0x7aAE0f6B20a7D19DB6914bE9dad486Be5643eD6C,5.0863
0x7ac95248bF886FD20DB4019A98B607bBa284A466,3.3942
0x7f719730C062f65Ee69523099553814374EA6581,28.7190
0x80398CB92256Aa5A94c61135f58e01E0a4593f48,5.3413
0x81409E4C1a55C034EC86F64A75d18D911A8B0071,4.0000
0x8237Dd9b0D445A9cb1782f7c2360DC8558272dcE,0.0069
0x82432fF8c8f73bc3a109c7190a1Ed82961535196,0.0099
0x829EeE1Ab4B21b3abD4b11b2951a03FbE16a3A97,1.6504
0x8821Cb75d18cBCfB7009adf90cBC391bB83929D7,4.0092
0x8A5E249Ba28C6f6492778c8850CE25EDD4A2862D,3.4023
0x8DBdD3AcFA928f4131bEA660371206b5d80DfA82,1.1500
0x8Dd867135e5b57C22F6c482795fc0b89F0a2A6d2,1.4404
0x8bA9dd61C0cD10cEe3fb0cd667f4DAe9c7dAF96d,0.0097
0x8bb0365C86532C5c8B3dD8ecfBA74d6e290Fe685,0.0009
0x8cCDa2A7d4ACbB099Da8b74adeaD429c991E9332,0.0042
0x8d32D75ab6F464eAb24eCefEAd84406Ab03bB6f2,0.0101
0x8d69A355117c12A74A15d58Bfb1303E6C110d518,22.4258
0x8f5F266716a2bEbBC5CD54b63852F831D2F75aEE,0.0432
0x91d65746479297429d648E0BD29A657e58e654bF,11.4504
0x9206d381cD0f0Fc4a6BD0e2c4AeF6364CB74b9c2,3.3152
0x93d7CFb02e19d82D61b9CF418b4275D3462008bC,9.7000
0x950565c1D1Fb4732178161d5E07B45A656a080D3,11.4581
0x95FB57660160e6BBbDd8C51ee49bccb8f02D8232,7.4498
0x96427109835D2CB6ba483A351C576B127Cb28a41,11.0908
0x97ea266beEcB12dD8060C4e010fD9cA9AF41b840,0.0009
0x9Aa0329ab6e9ec9fc5A05F44aa2A6E99Bd7789e9,0.0255
0x9FaaaED85e782531f34E5A9b68254fB088f1a310,0.0200
0x9ab97cb816010CF1aBe8e67f6Cfc56CE3BE917A3,150.0934
0x9bB682E843F0AF37DeA873c60Db9549545Dc5741,3.0475
0x9bbA7aF9fF691B51f4AE14E21304d22562fCc370,4.9691
0xA1686a5D9802C7FC0bb291eC6F51c8065d728DA4,2.4385
0xA3D8cfe7cA6BCF3e94d9e13AAFF0f1B205Bc8eAc,0.2568
0xAaa3bDc6563c144eCC0222a7eFBE88aB9Da54C28,0.3468
0xAbb411F9d31Fcf221f8750cD88A04ca310000AE9,1.7000
0xAf63977A00d25a301C21D4AD076BC10dA23f6f63,0.0820
0xB30ae0cc41b3d255781de7c426B1B6dA2C2a2d76,0.1525
0xB4A2f66c76821CDCE5C5e5e05E5c35C912C285b9,0.0111
